n: 10
m: 2
disponibilita: 1
tempiProc: [ 3 4 
            4 3 
            1 7
            8 6 
            10 14
            11 8 
            7 12
            9 3
            14 13
            5 8]
pesi: [ 1 2 1 4 2 1 2 3 1 2]
tempiRD: [ 0 0 5 3 11 12 15 14 25 21]
tempiDD: [6 7 15 14 26 25 29 27 42 32 ]
tempiSetup: [0 3 4 7 5 0 1 3 4 7  
             2 1 1 0 4 1 5 4 0 3  
             0 0 2 1 0 5 8 9 1 2  
             0 2 4 3 1 1 1 4 7 10 
             1 0 2 4 0 1 1 0 2 6  
             5 0 3 1 2 0 1 5 4 1  
             2 1 0 3 5 2 4 5 6 0  
             1 2 0 0 1 1 1 7 2 3  
             5 3 1 0 3 0 4 7 8 7  
             3 1 2 0 5 4 4 7 3 2  
             1 2 3 5 0 3 1 4 5 7  
             4 1 2 3 0 4 10 5 7 3 
             3 2 4 5 4 0 4 2 9 7  
             0 2 5 5 4 0 2 4 8 9  
             1 4 8 2 3 4 5 1 0 10 
             1 5 8 2 0 3 4 5 1 4  
             0 5 6 4 1 2 3 10 7 8 
             2 4 8 3 6 10 7 8 5 6 
             7 5 6 4 3 1 0 4 8 7  
             4 8 7 5 3 6 10 0 0 2 
             4 5 9 10 7 8 0 3 0 4 
             8 6 1 2 0 1 3 4 0 5] 
alfa: 0.7
